Date,School District,New Positive Students 
1/19/2022,West Fargo Public School District,46
1/20/2022,West Fargo Public School District,55
1/21/2022,West Fargo Public School District,55
1/22/2022,West Fargo Public School District,7
1/23/2022,West Fargo Public School District,11
1/24/2022,West Fargo Public School District,62
1/25/2022,West Fargo Public School District,51
1/26/2022,West Fargo Public School District,37
1/27/2022,West Fargo Public School District,50
1/28/2022,West Fargo Public School District,27
1/29/2022,West Fargo Public School District,6
1/30/2022,West Fargo Public School District,6
1/31/2022,West Fargo Public School District,31
2/1/2022,West Fargo Public School District,21
2/2/2022,West Fargo Public School District,20
2/3/2022,West Fargo Public School District,12
2/4/2022,West Fargo Public School District,1
2/5/2022,West Fargo Public School District,3
2/6/2022,West Fargo Public School District,1
2/7/2022,West Fargo Public School District,7
2/8/2022,West Fargo Public School District,8
2/9/2022,West Fargo Public School District,13
2/10/2022,West Fargo Public School District,5
2/11/2022,West Fargo Public School District,2
2/12/2022,West Fargo Public School District,0
2/13/2022,West Fargo Public School District,1
2/14/2022,West Fargo Public School District,4
2/15/2022,West Fargo Public School District,7
2/16/2022,West Fargo Public School District,4
2/17/2022,West Fargo Public School District,8
2/18/2022,West Fargo Public School District,0
2/19/2022,West Fargo Public School District,0
2/20/2022,West Fargo Public School District,1
2/21/2022,West Fargo Public School District,0
2/22/2022,West Fargo Public School District,1
2/23/2022,West Fargo Public School District,2
2/24/2022,West Fargo Public School District,0
2/25/2022,West Fargo Public School District,0
2/26/2022,West Fargo Public School District,1
2/27/2022,West Fargo Public School District,0
2/28/2022,West Fargo Public School District,2
3/1/2022,West Fargo Public School District,1
3/2/2022,West Fargo Public School District,3
8/26/2021,Fargo Public School District,1
8/27/2021,Fargo Public School District,5
8/28/2021,Fargo Public School District,0
8/29/2021,Fargo Public School District,1
8/30/2021,Fargo Public School District,7
8/31/2021,Fargo Public School District,4
9/1/2021,Fargo Public School District,5
9/2/2021,Fargo Public School District,3
9/3/2021,Fargo Public School District,9
9/4/2021,Fargo Public School District,7
9/5/2021,Fargo Public School District,1
9/6/2021,Fargo Public School District,3
9/7/2021,Fargo Public School District,6
9/8/2021,Fargo Public School District,9
9/9/2021,Fargo Public School District,7
9/10/2021,Fargo Public School District,4
9/11/2021,Fargo Public School District,2
9/12/2021,Fargo Public School District,1
9/13/2021,Fargo Public School District,7
9/14/2021,Fargo Public School District,12
9/15/2021,Fargo Public School District,3
9/16/2021,Fargo Public School District,10
9/17/2021,Fargo Public School District,4
9/18/2021,Fargo Public School District,0
9/19/2021,Fargo Public School District,2
9/20/2021,Fargo Public School District,5
9/21/2021,Fargo Public School District,5
9/22/2021,Fargo Public School District,6
9/23/2021,Fargo Public School District,1
9/24/2021,Fargo Public School District,9
9/25/2021,Fargo Public School District,3
9/26/2021,Fargo Public School District,1
9/27/2021,Fargo Public School District,10
9/28/2021,Fargo Public School District,12
9/29/2021,Fargo Public School District,8
9/30/2021,Fargo Public School District,12
10/1/2021,Fargo Public School District,9
10/2/2021,Fargo Public School District,3
10/3/2021,Fargo Public School District,3
10/4/2021,Fargo Public School District,20
10/5/2021,Fargo Public School District,11
10/6/2021,Fargo Public School District,9
10/7/2021,Fargo Public School District,7
10/8/2021,Fargo Public School District,9
10/9/2021,Fargo Public School District,5
10/10/2021,Fargo Public School District,3
10/11/2021,Fargo Public School District,13
10/12/2021,Fargo Public School District,11
10/13/2021,Fargo Public School District,12
10/14/2021,Fargo Public School District,7
10/15/2021,Fargo Public School District,10
10/16/2021,Fargo Public School District,1
10/17/2021,Fargo Public School District,4
10/18/2021,Fargo Public School District,19
10/19/2021,Fargo Public School District,4
10/20/2021,Fargo Public School District,11
10/21/2021,Fargo Public School District,5
10/22/2021,Fargo Public School District,11
10/23/2021,Fargo Public School District,1
10/24/2021,Fargo Public School District,3
10/25/2021,Fargo Public School District,14
10/26/2021,Fargo Public School District,6
10/27/2021,Fargo Public School District,6
10/28/2021,Fargo Public School District,10
10/29/2021,Fargo Public School District,7
10/30/2021,Fargo Public School District,2
10/31/2021,Fargo Public School District,0
11/1/2021,Fargo Public School District,13
11/2/2021,Fargo Public School District,10
11/3/2021,Fargo Public School District,11
11/4/2021,Fargo Public School District,9
11/5/2021,Fargo Public School District,9
